Index,Vandløb,Lokation,UTMx,UTMy, longitude, latitude
212,TINGSTED BÆK,TINGSTED BÆK; NS. EGEN MØLLE,556757,6092461,9.886743387,54.97582558
213,afløb Bølling vådområde,afløb Bølling vådområde; tilløb Bølling BÆk,522277,6160957,9.353491957,55.59405315
214,VIBY Å,VIBY Å; 2.90,553199,6144994,9.84105589,55.44823494
216,GAMMEL Å,GAMMEL Å; LYDERSHOLMVEJ,499722,6084121,8.995664447,54.90411026
217,Agersbjerggrøften,Agersbjerggrøften; Afløb fra Skalle Sø,491568,6262042,8.863018557,56.50272307
219,HERBORG BÆK,HERBORG BÆK; OS HERBORG DAMBRUG,473641,6213795,8.576610459,56.06859613
220,VITVED BÆK,VITVED BÆK; NEDSTRØMS FOLMERBRO,565736,6211604,10.05525745,56.04512458
221,BYGHOLM Å,BYGHOLM Å; KØRUP BRO,547219,6192156,9.754632462,55.87258317
222,BYGHOLM Å,BYGHOLM Å; VED BRO I BYGHOLM PARK,551899,6191704,9.829331125,55.86804115
223,BYGHOLM Å,BYGHOLM Å; ÅRUPGÅRD,548649,6192099,9.777473506,55.87192886
224,ØLSTRUP BÆK,ØLSTRUP BÆK; VED LANGERDAL,465450,6215775,8.444793518,56.08586395
225,ØLSTRUP BÆK,ØLSTRUP BÆK; NORD FOR GL. FLYTKÆR,462510,6219008,8.397097825,56.11468873
226,FALDBÆK,FALDBÆK; V. VILLESTED-OVERLADE,518519,6305182,9.303954474,56.88999561
227,FALDBÆK,FALDBÆK; V. FALDVEJEN; VESTER FALDGÅRD,518853,6303615,9.30932007,56.87590497
228,GERÅ,GERÅ; MELHOLT KIRKE,581892,6329753,10.35188126,57.10381069
230,HAMMERUM BÆK,HAMMERUM BÆK; OS. UDL. I HERNINGSHOLM Å,500150,6221648,9.002413812,56.1398797
231,Ansø Dambrug,Ansø Dambrug; DOMDALSVEJ,547744,6232843,9.770273549,56.23806585
232,FIDDE STRØM,FIDDE STRØM; FIDDE BRO,454479,6175741,8.275246145,55.72526565
234,BrokbÆk,BrokbÆk; Vest for Skolemarken,547657,6098608,9.745607913,55.03201372
235,HØJVADS RENDE; TILLØB TIL,HØJVADS RENDE; TILLØB TIL; ROSNINGEN VEJBRO,647381,6082640,11.29669727,54.86908656
236,Gl. Mølle Sø; afløb,Gl. Mølle Sø; afløb; Gl. Mølle Sø; afløb,603569,6122960,10.62896739,55.24225888
237,HORSEBØGBÆKKEN,HORSEBØGBÆKKEN; Parnasgård,659997,6144687,11.52808939,55.4222438
238,Søbo Sø; tilløb 1,Søbo Sø; tilløb 1; Søbo Sø; tilløb 1,577215,6118879,10.2134681,55.2104226
